# t,Ke0,Kd0,Ke1,Kd1,Ke2
0.000875,2.33539049064056E-12,-2.03790849149965E-18,2.39892990464307E-09,-4.06570254805303E-18,2.62328313312636E-15
0.00525,9.96417988182826E-06,-1.71107340627096E-11,0.007107809251932,-1.92794576743416E-10,1.08236482385457E-08
0.009625,0.001109665590838,-2.90955937596924E-09,0.775218791972449,-4.33100510775329E-08,1.08950464646067E-06
0.014,0.008898940998645,-3.14687136064692E-08,6.36198617460025,-4.67246106082155E-07,7.49447188078948E-06
0.018375,0.024591255675968,-1.08156979141821E-07,17.177721565555,-1.41771879962579E-06,1.70824472959424E-05
0.02275,0.040845496282517,-2.11593108194377E-07,26.6073757394297,-2.32670653107258E-06,2.27420429616192E-05
0.027125,0.051982282150593,-3.05517688447039E-07,30.503788793662,-2.75729519389059E-06,2.26746272785985E-05
0.0315,0.057040109199002,-3.7053273441671E-07,29.4000942228977,-2.71505852002445E-06,1.90526725612905E-05
0.035875,0.057362696543112,-4.04308983823353E-07,25.4355092877522,-2.3860595778533E-06,1.42272561349836E-05
0.04025,0.054635205697728,-4.12334827122789E-07,20.3949785090657,-1.93931655918977E-06,9.5508581534108E-06
0.044625,0.050195361893371,-4.01749305971206E-07,15.3292622968928,-1.47873324862846E-06,5.57393870955464E-06
