,0,1,2,3,4,5,6,7,8,9,10,11
0,5.50208841193755e-07,1.283820602058922e-07,-1.7486681564143806e-06,-1.0033653068826294e-06,-6.876998170743938e-07,-6.876998171216865e-07,8.380070919669423e-06,-3.6047273714776705e-06,5.57043995957728e-07,-6.274001554415113e-06,5.541291276384904e-07,7.891075900751339e-07
1,1.2838206020589224e-07,2.9955813408867704e-08,-4.0802257512863375e-07,-2.341185746459236e-07,-1.6046329273426856e-07,-1.6046329274530466e-07,1.9553498433019556e-06,-8.411030207896243e-07,1.299769341421309e-07,-1.4639336629007279e-06,1.2929679819850882e-07,1.8412510881729742e-07
2,-1.7486681564143776e-06,-4.080225751286342e-07,8.18366022808044e-05,4.6955232565088505e-05,3.2182799848031826e-05,3.2182799847550834e-05,-3.9606056067139456e-05,-6.834945502704591e-05,-2.6397959136167477e-05,1.8803380969859395e-06,-2.6314334447618392e-05,-4.842994503092007e-05
3,-1.003365306882628e-06,-2.3411857464592334e-07,4.695523256508851e-05,2.694141501507467e-05,1.8465464223843814e-05,1.8465464223567847e-05,-2.272511339742485e-05,-3.921646295251413e-05,-1.5146306515240185e-05,1.0792289020514657e-06,-1.5098325612195234e-05,-2.7787563435625426e-05
4,-6.876998170743929e-07,-1.6046329273426885e-07,3.218279984803183e-05,1.8465464223843814e-05,1.2656104692766469e-05,1.2656104692577333e-05,-1.557563951954975e-05,-2.687869932708563e-05,-1.0381176375630185e-05,7.396962137195862e-07,-1.0348290588149883e-05,-1.9045408646921194e-05
5,-6.876998171216841e-07,-1.6046329274530482e-07,3.2182799847550834e-05,1.8465464223567847e-05,1.2656104692577333e-05,1.2656104692388187e-05,-1.5575639521069137e-05,-2.6878699325365573e-05,-1.0381176375474756e-05,7.396962151628967e-07,-1.0348290587991873e-05,-1.904540864638925e-05
6,8.380070919669422e-06,1.9553498433019565e-06,-3.9606056067139484e-05,-2.2725113397424846e-05,-1.557563951954976e-05,-1.557563952106914e-05,0.00016903509601519376,-6.680626392627281e-05,1.2698538136212516e-05,-0.0001330749807981827,1.245734038963818e-05,7.482870252318691e-06
7,-3.6047273714776714e-06,-8.411030207896249e-07,-6.83494550270459e-05,-3.9216462952514125e-05,-2.6878699327085626e-05,-2.6878699325365577e-05,-6.680626392627284e-05,0.00014787691596004042,2.2131020953376758e-05,9.48842016720747e-05,2.2201914945938247e-05,5.329424340580653e-05
8,5.57043995957728e-07,1.2997693414213088e-07,-2.6397959136167473e-05,-1.5146306515240187e-05,-1.0381176375630183e-05,-1.0381176375474756e-05,1.2698538136212516e-05,2.2131020953376755e-05,8.515519328644347e-06,-5.366300314184888e-07,8.488225184265324e-06,1.561799295264256e-05
9,-6.274001554415113e-06,-1.4639336629007285e-06,1.880338096985941e-06,1.0792289020514708e-06,7.396962137195854e-07,7.396962151628975e-07,-0.00013307498079818264,9.48842016720747e-05,-5.366300314184883e-07,0.000144960646886464,-1.8191989747704708e-07,2.3375324031650906e-05
10,5.541291276384909e-07,1.292967981985088e-07,-2.6314334447618392e-05,-1.5098325612195232e-05,-1.0348290588149883e-05,-1.0348290587991873e-05,1.2457340389638172e-05,2.2201914945938247e-05,8.488225184265324e-06,-1.8191989747704777e-07,8.463067626865472e-06,1.5681158432342394e-05
11,7.891075900751335e-07,1.841251088172973e-07,-4.8429945030920055e-05,-2.7787563435625426e-05,-1.9045408646921197e-05,-1.9045408646389257e-05,7.482870252318698e-06,5.329424340580654e-05,1.5617992952642557e-05,2.3375324031650906e-05,1.5681158432342394e-05,3.572730097410127e-05
